,index,DATE,ACTLISCOUUS,Diff_house_inventory
166,167,2016-11-01,1339703.0,-67995.0
167,168,2016-12-01,1235985.0,-103718.0
168,169,2017-01-01,1154120.0,-81865.0
169,170,2017-02-01,1151120.0,-3000.0
170,171,2017-03-01,1172713.0,21593.0
171,172,2017-04-01,1198424.0,25711.0
172,173,2017-05-01,1253854.0,55430.0
173,174,2017-06-01,1292371.0,38517.0
174,175,2017-07-01,1322659.0,30288.0
175,176,2017-08-01,1325358.0,2699.0
176,177,2017-09-01,1308607.0,-16751.0
177,178,2017-10-01,1287322.0,-21285.0
178,179,2017-11-01,1228077.0,-59245.0
179,180,2017-12-01,1127799.0,-100278.0
180,181,2018-01-01,1043951.0,-83848.0
181,182,2018-02-01,1045153.0,1202.0
182,183,2018-03-01,1067281.0,22128.0
183,184,2018-04-01,1102064.0,34783.0
184,185,2018-05-01,1156910.0,54846.0
185,186,2018-06-01,1216504.0,59594.0
186,187,2018-07-01,1261916.0,45412.0
187,188,2018-08-01,1285666.0,23750.0
188,189,2018-09-01,1301922.0,16256.0
189,190,2018-10-01,1304682.0,2760.0
190,191,2018-11-01,1273047.0,-31635.0
191,192,2018-12-01,1185865.0,-87182.0
192,193,2019-01-01,1110636.0,-75229.0
193,194,2019-02-01,1102660.0,-7976.0
194,195,2019-03-01,1115940.0,13280.0
195,196,2019-04-01,1137198.0,21258.0
196,197,2019-05-01,1180920.0,43722.0
197,198,2019-06-01,1219807.0,38887.0
198,199,2019-07-01,1239534.0,19727.0
199,200,2019-08-01,1235257.0,-4277.0
200,201,2019-09-01,1224868.0,-10389.0
201,202,2019-10-01,1208311.0,-16557.0
202,203,2019-11-01,1143332.0,-64979.0
203,204,2019-12-01,1033887.0,-109445.0
204,205,2020-01-01,951675.0,-82212.0
205,206,2020-02-01,928343.0,-23332.0
206,207,2020-03-01,937319.0,8976.0
207,208,2020-04-01,941733.0,4414.0
208,209,2020-05-01,928370.0,-13363.0
209,210,2020-06-01,871557.0,-56813.0
210,211,2020-07-01,822834.0,-48723.0
211,212,2020-08-01,779558.0,-43276.0
212,213,2020-09-01,749395.0,-30163.0
213,214,2020-10-01,734040.0,-15355.0
214,215,2020-11-01,683822.0,-50218.0
215,216,2020-12-01,612300.0,-71522.0
216,217,2021-01-01,531775.0,-80525.0
217,218,2021-02-01,464919.0,-66856.0
218,219,2021-03-01,440589.0,-24330.0
219,220,2021-04-01,435663.0,-4926.0
220,221,2021-05-01,447662.0,11999.0
221,222,2021-06-01,492425.0,44763.0
