,Month,Unemployment
245,2023-06-01,3.6
246,2023-07-01,3.5
247,2023-08-01,3.8
248,2023-09-01,3.8
249,2023-10-01,3.8
250,2023-11-01,3.7
251,2023-12-01,3.7
252,2024-01-01,3.7
253,2024-02-01,3.9
254,2024-03-01,3.8
255,2024-04-01,3.9
256,2024-05-01,4.0
257,2024-06-01,4.1
