,MORTGAGE30US,DATE
227,3.098,2021-12-01
228,3.4450000000000003,2022-01-01
229,3.7625,2022-02-01
230,4.172,2022-03-01
231,4.9825,2022-04-01
232,5.2299999999999995,2022-05-01
233,5.522,2022-06-01
234,5.4125,2022-07-01
235,5.2225,2022-08-01
236,6.112,2022-09-01
237,6.9,2022-10-01
238,6.805,2022-11-01
239,6.364,2022-12-01
240,6.2725,2023-01-01
241,6.2575,2023-02-01
242,6.544,2023-03-01
243,6.342499999999999,2023-04-01
244,6.425,2023-05-01
245,6.714,2023-06-01
246,6.84,2023-07-01
247,7.072,2023-08-01
248,7.2,2023-09-01
249,7.62,2023-10-01
250,7.442,2023-11-01
251,6.815,2023-12-01
252,6.6425,2024-01-01
253,6.776000000000001,2024-02-01
254,6.82,2024-03-01
255,6.9925,2024-04-01
256,7.06,2024-05-01
257,6.9175,2024-06-01
258,6.87,2024-07-01
