Month,Total,1 unit,2 to 4,5 units,Northeast,,Midwest,,South,,West,
,,,units,or more,Total,1 unit,Total,1 unit,Total,1 unit,Total,1 unit
Nov 1993,106.3,95.2,2.6,8.4,13.6,12.1,24.7,22.6,43.7,39.1,24.2,21.4
Dec 1993,120.8,107.1,2.0,11.7,12.4,10.9,27.7,24.7,51.8,46.7,28.9,24.7
Jan 1994,86.5,76.6,2.2,7.8,7.6,7.4,17.9,15.4,38.0,34.4,23.0,19.4
Feb 1994,89.6,79.6,1.9,8.1,7.2,6.9,18.7,15.2,38.1,34.5,25.5,23.0
Mar 1994,94.1,82.0,3.4,8.7,7.4,7.1,20.0,16.5,42.7,38.0,24.0,20.4
Apr 1994,103.6,90.5,2.7,10.4,9.4,8.3,21.4,18.2,46.5,41.9,26.3,22.2
May 1994,115.6,100.7,3.2,11.7,11.4,9.7,25.4,19.9,48.5,44.2,30.3,26.9
Jun 1994,117.1,99.4,2.5,15.2,10.3,9.2,29.4,23.4,51.0,44.1,26.4,22.7
Jul 1994,108.9,98.5,1.9,8.4,10.7,9.9,23.7,21.6,45.0,41.4,29.4,25.6
Aug 1994,124.0,103.8,2.6,17.7,13.0,10.9,28.7,24.3,51.4,44.5,30.9,24.0
Sep 1994,128.5,106.1,3.1,19.3,11.7,10.8,32.0,25.7,55.5,45.4,29.3,24.2
Oct 1994,130.5,112.4,2.4,15.7,12.2,11.7,31.6,25.8,56.6,48.8,30.0,26.1
Nov 1994,116.4,97.7,2.8,15.9,10.8,10.3,27.2,24.0,50.6,40.4,27.8,22.9
Dec 1994,132.3,113.1,3.1,16.2,11.6,10.6,31.2,24.9,56.9,49.8,32.6,27.7
Jan 1995,100.2,84.8,3.1,12.3,11.4,9.3,22.7,18.4,45.0,39.2,21.2,17.9
Feb 1995,86.1,71.9,2.7,11.4,8.3,7.7,18.8,15.3,38.7,32.0,20.2,17.0
Mar 1995,105.1,89.1,2.7,13.2,9.9,8.9,20.7,17.5,46.6,39.4,27.8,23.4
Apr 1995,101.5,82.1,3.2,16.3,7.2,6.8,25.9,18.7,44.5,37.1,23.9,19.5
May 1995,107.8,86.8,2.7,18.4,11.2,8.7,24.8,20.3,46.9,37.7,24.9,20.0
Jun 1995,108.7,89.4,2.8,16.6,10.3,9.5,24.7,19.6,48.1,39.7,25.7,20.7
Jul 1995,115.5,88.2,4.2,23.1,13.3,9.1,25.9,18.8,48.9,39.6,27.4,20.7
Aug 1995,115.5,92.1,2.4,21.0,8.8,8.2,25.8,20.1,53.5,42.0,27.3,21.8
Sep 1995,115.5,91.9,2.4,21.2,11.1,9.5,27.0,21.8,49.7,39.5,27.7,21.2
Oct 1995,125.4,100.1,2.2,23.0,12.7,10.5,25.9,22.3,56.2,42.7,30.6,24.6
Nov 1995,116.0,92.6,3.9,19.4,9.7,9.0,25.0,20.8,51.1,40.0,30.3,22.8
Dec 1995,115.3,96.6,2.4,16.4,12.9,10.7,20.8,18.4,52.0,43.8,29.6,23.7
Jan 1996,99.3,79.4,2.0,17.9,8.4,7.5,21.0,16.8,43.9,34.6,26.0,20.5
Feb 1996,91.0,72.3,2.1,16.6,9.2,7.1,15.2,12.9,41.9,32.9,24.7,19.3
Mar 1996,103.1,83.7,2.4,17.1,6.6,6.3,20.0,15.6,49.7,40.7,26.8,21.0
Apr 1996,101.9,80.3,2.1,19.4,8.8,7.8,22.9,17.7,45.9,36.1,24.3,18.7
May 1996,114.6,91.9,2.0,20.7,9.2,7.4,22.6,18.3,53.3,42.9,29.5,23.3
Jun 1996,125.9,98.0,2.0,25.9,10.9,10.0,27.8,19.3,56.6,44.6,30.5,24.1
Jul 1996,126.3,97.6,2.9,25.9,9.3,7.7,29.9,22.8,56.3,45.6,30.8,21.5
Aug 1996,134.1,104.1,3.9,26.1,11.0,10.2,30.3,22.5,61.4,47.2,31.4,24.2
Sep 1996,122.1,99.6,3.5,19.0,11.7,10.2,27.4,22.7,51.3,41.4,31.7,25.3
Oct 1996,129.9,108.5,2.0,19.4,13.2,11.2,27.1,24.8,59.7,48.5,30.0,24.0
Nov 1996,122.7,99.2,4.4,19.1,13.5,10.4,30.0,25.7,52.3,42.0,27.0,21.2
Dec 1996,141.8,113.9,3.8,24.2,13.3,12.0,30.3,25.4,64.7,51.0,33.6,25.5
Jan 1997,95.7,78.9,1.3,15.5,8.5,7.3,21.2,17.9,41.6,34.8,24.4,18.9
Feb 1997,104.8,84.8,3.4,16.7,10.5,9.0,20.5,15.4,49.0,42.2,24.7,18.1
Mar 1997,109.6,87.4,3.6,18.6,13.4,10.6,19.0,14.7,51.9,43.1,25.4,19.0
Apr 1997,110.8,86.8,4.1,19.8,8.6,7.8,23.1,17.7,52.8,41.1,26.2,20.3
May 1997,113.6,90.1,3.0,20.4,12.7,10.2,22.8,18.2,49.0,39.3,29.1,22.4
Jun 1997,113.8,94.2,2.6,17.0,10.7,9.6,24.5,21.6,50.4,40.7,28.3,22.4
Jul 1997,112.8,89.2,3.1,20.5,11.3,9.3,24.3,19.2,49.7,40.1,27.5,20.7
Aug 1997,121.2,94.3,3.1,23.8,10.2,9.2,28.7,20.9,52.6,41.2,29.8,23.1
Sep 1997,129.3,103.5,3.8,22.1,13.1,11.4,28.4,23.0,60.7,47.1,27.1,22.1
Oct 1997,128.8,100.3,3.3,25.2,11.4,10.0,29.2,23.2,57.3,44.5,30.9,22.6
Nov 1997,123.4,100.6,2.1,20.7,11.4,10.3,27.3,23.4,55.0,42.8,29.7,24.1
Dec 1997,136.5,106.2,3.6,26.8,12.1,10.7,26.9,21.3,64.0,48.9,33.5,25.2
Jan 1998,91.5,71.3,1.8,18.4,9.5,8.4,17.9,14.4,40.7,30.0,23.3,18.4
Feb 1998,97.7,76.8,3.0,17.9,8.3,7.4,20.0,15.3,45.7,35.4,23.8,18.6
Mar 1998,111.2,85.5,4.2,21.6,8.0,6.4,23.9,17.6,50.6,38.9,28.7,22.6
Apr 1998,115.3,90.8,3.4,21.1,9.2,7.0,25.4,20.4,56.6,42.8,24.0,20.5
May 1998,118.9,89.9,3.9,25.0,11.4,9.0,25.5,19.1,54.5,40.7,27.5,21.1
Jun 1998,127.7,100.5,3.3,23.9,12.0,10.9,26.9,21.8,59.0,43.9,29.9,23.8
Jul 1998,133.6,103.1,2.7,27.7,10.9,10.3,30.2,22.0,60.0,46.1,32.4,24.8
Aug 1998,138.6,104.6,3.8,30.2,12.8,11.0,28.2,20.8,64.5,47.6,33.1,25.3
Sep 1998,130.9,107.6,3.2,20.1,14.4,11.8,25.0,21.9,59.2,47.9,32.3,26.0
Oct 1998,133.3,108.1,4.2,21.0,12.6,11.2,27.5,24.5,58.5,46.7,34.7,25.7
Nov 1998,139.0,111.5,3.5,23.9,13.6,11.7,27.2,22.8,61.7,48.7,36.4,28.4
Dec 1998,136.6,110.0,3.6,22.9,14.5,11.3,27.3,23.0,60.6,48.5,34.1,27.3
Jan 1999,112.4,88.0,4.1,20.3,8.6,7.6,19.7,16.7,57.1,41.9,27.0,21.8
Feb 1999,100.5,82.6,2.5,15.3,7.9,6.8,18.1,15.3,50.8,40.3,23.6,20.2
Mar 1999,128.2,101.2,4.1,22.9,10.4,8.2,27.0,21.0,57.4,46.2,33.4,25.8
Apr 1999,122.3,98.2,2.2,21.9,11.8,10.4,24.9,20.5,54.1,42.7,31.6,24.7
May 1999,132.4,106.0,1.7,24.8,13.8,11.4,27.9,24.4,60.4,46.0,30.4,24.2
Jun 1999,142.8,112.7,3.6,26.5,13.5,10.0,30.9,24.5,62.3,50.7,36.1,27.6
Jul 1999,137.3,102.6,4.4,30.3,14.6,8.7,26.8,22.8,62.3,46.5,33.6,24.6
Aug 1999,142.4,108.4,2.3,31.7,13.2,11.3,31.0,24.1,67.7,49.6,30.5,23.3
Sep 1999,146.4,116.2,2.5,27.7,12.4,11.0,32.9,25.4,63.3,50.5,37.8,29.3
Oct 1999,144.2,114.4,2.5,27.3,10.3,8.9,31.2,26.9,65.9,49.9,36.7,28.7
Nov 1999,140.2,116.0,2.4,21.8,12.8,10.1,30.5,27.3,62.5,50.7,34.4,27.9
Dec 1999,155.9,124.0,2.9,28.9,13.4,10.3,33.7,27.3,69.0,54.6,39.7,31.8
Jan 2000,110.0,88.7,1.4,19.9,10.0,9.1,23.0,18.6,52.2,40.7,24.9,20.4
Feb 2000,116.1,92.2,2.0,21.8,10.8,9.4,21.6,17.6,56.0,42.4,27.6,22.8
Mar 2000,130.6,100.8,2.2,27.6,11.5,9.3,27.8,21.4,57.8,46.0,33.5,24.1
Apr 2000,124.4,100.7,2.4,21.4,12.1,9.8,23.4,20.5,56.9,45.1,31.9,25.2
May 2000,136.5,108.1,2.2,26.2,12.1,9.8,30.5,24.3,64.0,49.6,30.0,24.4
Jun 2000,133.5,102.9,2.7,28.0,13.2,10.8,30.7,23.4,63.1,46.7,26.5,22.0
Jul 2000,126.9,98.2,1.8,26.8,12.1,9.6,24.2,19.8,61.2,45.5,29.4,23.3
Aug 2000,144.0,108.9,2.5,32.6,12.2,10.4,33.4,25.9,65.0,48.4,33.4,24.3
Sep 2000,135.5,105.8,2.3,27.4,14.8,11.6,32.0,25.1,58.6,45.8,30.2,23.4
Oct 2000,136.9,107.6,3.3,26.0,13.5,9.9,28.8,23.1,64.8,50.5,29.8,24.1
Nov 2000,135.1,110.7,2.9,21.5,11.3,9.4,30.1,24.9,63.2,51.8,30.6,24.6
Dec 2000,144.1,117.1,1.6,25.4,12.3,11.4,29.1,24.3,66.6,53.4,36.1,27.9
Jan 2001,100.0,77.1,1.5,21.5,10.8,6.7,20.9,17.1,44.1,35.2,24.2,18.0
Feb 2001,106.1,83.3,1.8,21.0,9.2,7.4,19.2,15.4,52.5,40.1,25.2,20.3
Mar 2001,114.4,93.4,2.5,18.4,9.6,7.9,20.3,17.6,55.8,45.8,28.7,22.1
Apr 2001,121.5,95.4,2.3,23.9,10.9,7.8,24.6,19.2,54.9,43.1,31.1,25.3
May 2001,122.0,99.6,4.1,18.2,11.0,9.3,23.4,20.3,56.8,45.2,30.7,24.8
Jun 2001,143.9,110.8,4.1,29.0,14.6,11.9,28.0,23.5,68.2,50.7,33.1,24.6
Jul 2001,134.7,105.8,3.1,25.8,10.7,9.5,31.5,25.2,62.6,48.6,29.9,22.5
Aug 2001,148.5,113.0,3.1,32.3,12.4,9.7,29.2,21.3,69.5,53.0,37.4,28.9
Sep 2001,137.2,113.0,2.6,21.6,11.1,8.9,28.6,25.0,64.8,53.2,32.7,25.8
Oct 2001,143.6,121.2,2.3,20.1,14.5,11.0,29.8,27.2,64.5,53.7,34.7,29.3
Nov 2001,136.7,112.3,2.6,21.8,12.8,10.5,31.6,26.0,56.0,46.5,36.3,29.4
Dec 2001,162.3,131.1,3.9,27.3,17.1,13.0,29.3,23.2,76.7,63.1,39.2,31.8
Jan 2002,112.3,91.0,2.4,18.8,12.9,8.7,18.9,16.9,53.2,44.2,27.2,21.2
Feb 2002,115.2,94.9,1.8,18.5,9.4,7.9,24.0,18.6,53.7,45.1,28.0,23.3
Mar 2002,121.2,103.0,1.3,16.8,9.8,8.6,24.3,21.7,54.0,45.7,33.0,27.0
Apr 2002,127.3,98.3,3.2,25.8,11.9,8.4,25.4,20.3,62.3,48.7,27.7,20.9
May 2002,139.4,110.5,5.4,23.5,11.2,8.3,28.8,22.6,67.7,54.3,31.7,25.2
Jun 2002,138.2,110.2,3.0,25.0,14.3,10.7,21.8,17.7,64.8,51.8,37.4,30.0
Jul 2002,136.6,105.1,2.9,28.6,11.7,9.4,26.8,20.0,65.2,50.5,33.0,25.2
Aug 2002,158.3,117.9,4.9,35.4,15.5,10.4,33.4,25.9,69.0,52.5,40.5,29.0
Sep 2002,146.6,119.8,2.7,24.1,12.3,10.4,31.9,26.5,66.2,55.2,36.1,27.8
Oct 2002,143.2,117.4,2.2,23.6,11.8,9.7,29.5,25.4,67.4,54.7,34.6,27.6
Nov 2002,149.7,125.6,2.2,22.0,13.8,10.3,33.6,29.5,61.3,51.8,41.0,34.0
Dec 2002,160.4,131.3,2.8,26.2,13.3,10.4,31.3,26.8,73.0,60.3,42.7,33.8
Jan 2003,113.3,90.1,3.4,19.8,9.5,6.6,18.4,16.0,56.3,44.7,29.2,22.8
Feb 2003,115.7,92.3,1.7,21.7,14.3,8.7,19.2,17.4,52.2,41.1,30.0,25.0
Mar 2003,125.4,101.0,3.5,20.9,8.6,5.5,25.3,19.9,57.7,47.9,33.8,27.7
Apr 2003,129.5,105.2,3.1,21.3,11.0,7.6,27.4,22.0,59.7,50.3,31.4,25.3
May 2003,142.9,113.4,2.6,26.9,16.0,10.5,28.3,20.7,61.1,50.9,37.5,31.3
Jun 2003,144.2,117.1,2.3,24.8,13.8,9.0,28.6,20.9,64.8,55.9,36.9,31.3
Jul 2003,141.6,117.5,2.7,21.4,11.4,9.2,30.6,24.2,60.8,51.5,38.7,32.5
Aug 2003,143.2,117.1,2.1,24.0,14.0,11.2,30.2,23.7,62.4,52.3,36.6,29.9
Sep 2003,152.5,126.6,3.7,22.1,13.8,11.2,33.6,28.7,63.2,52.1,41.9,34.6
Oct 2003,155.4,135.2,1.7,18.5,13.5,10.9,30.1,27.2,69.0,60.5,42.8,36.6
Nov 2003,148.5,129.4,1.8,17.3,14.5,12.6,29.4,25.7,67.7,59.3,36.9,31.9
Dec 2003,166.4,141.4,3.0,22.0,14.2,10.5,31.1,27.9,80.8,69.0,40.4,34.1
Jan 2004,118.6,99.4,0.9,18.2,9.5,9.1,25.1,20.8,51.0,42.8,32.9,26.7
Feb 2004,119.5,101.2,2.1,16.2,9.6,7.9,24.2,21.3,54.1,46.4,31.6,25.6
Mar 2004,137.0,115.1,1.5,20.4,10.1,8.1,24.3,20.8,66.1,55.2,36.5,30.9
Apr 2004,152.0,129.0,1.7,21.3,10.6,8.5,28.5,24.7,70.0,59.3,42.9,36.5
May 2004,159.5,125.1,1.9,32.5,12.0,8.7,31.1,26.5,76.4,58.9,39.9,31.1
Jun 2004,162.1,130.4,2.2,29.5,15.4,8.9,30.1,23.4,73.2,60.2,43.4,37.9
Jul 2004,159.0,127.8,3.0,28.2,13.4,10.3,31.8,25.3,73.5,59.5,40.2,32.8
Aug 2004,176.6,137.2,2.0,37.4,16.5,11.1,40.3,29.5,79.2,62.8,40.6,33.8
Sep 2004,158.2,136.2,1.7,20.3,13.8,10.1,31.9,28.9,72.5,62.0,40.0,35.2
Oct 2004,165.1,140.7,2.4,22.0,17.4,13.3,33.0,28.6,71.2,60.7,43.4,38.1
Nov 2004,150.4,128.7,1.6,20.1,13.8,10.2,28.3,24.1,70.6,62.3,37.7,32.1
Dec 2004,184.1,160.8,2.4,20.8,13.8,12.8,33.6,29.7,82.5,69.7,54.2,48.6
Jan 2005,130.9,109.8,3.2,18.0,10.9,9.1,21.7,20.2,60.5,49.4,37.8,31.2
Feb 2005,132.0,111.7,3.5,16.7,12.8,8.8,25.4,21.5,61.9,53.8,31.9,27.5
Mar 2005,135.7,116.7,2.1,17.0,10.4,7.5,23.3,20.9,62.5,53.9,39.5,34.4
Apr 2005,150.7,126.7,2.2,21.8,12.3,10.3,27.3,24.4,71.0,57.7,40.1,34.4
May 2005,176.3,145.3,4.2,26.8,14.1,10.5,36.5,30.6,81.7,66.2,44.1,38.0
Jun 2005,171.0,144.5,3.0,23.4,16.9,14.4,31.0,26.3,81.9,66.9,41.2,36.9
Jul 2005,158.5,136.3,3.5,18.6,12.3,10.3,28.8,25.1,74.1,63.1,43.3,37.8
Aug 2005,178.3,145.0,5.2,28.1,19.9,11.6,33.8,28.5,78.7,65.5,46.0,39.4
Sep 2005,172.0,147.8,2.8,21.4,15.1,11.1,31.3,27.4,80.7,69.5,45.0,39.7
Oct 2005,175.7,147.1,2.2,26.3,13.9,10.3,31.9,27.8,84.5,71.4,45.4,37.6
Nov 2005,162.8,142.2,1.9,18.8,14.4,13.3,30.5,27.0,76.0,65.1,41.9,36.8
Dec 2005,187.5,162.8,3.6,21.1,17.8,14.2,30.6,27.6,90.2,78.1,48.9,42.8
Jan 2006,142.4,115.1,3.2,24.0,13.3,8.9,23.5,20.2,69.8,56.1,35.8,29.8
Feb 2006,141.7,120.8,4.8,16.1,14.0,8.7,21.3,19.5,68.5,60.1,38.0,32.5
Mar 2006,169.2,144.9,3.5,20.8,12.7,9.0,26.1,22.3,87.6,75.9,42.8,37.8
Apr 2006,160.3,134.0,2.6,23.8,17.2,10.0,26.6,22.9,77.9,67.1,38.6,34.0
May 2006,158.8,133.7,3.0,22.2,13.7,10.1,25.5,23.5,78.0,64.4,41.7,35.6
Jun 2006,179.6,151.7,2.7,25.2,15.5,13.0,29.3,25.6,86.5,73.2,48.2,39.9
Jul 2006,163.6,138.7,2.1,22.9,14.8,10.9,27.2,25.9,85.1,70.8,36.6,31.1
Aug 2006,170.4,142.4,2.8,25.2,16.1,12.3,30.4,26.9,82.1,67.4,41.9,35.8
Sep 2006,180.9,152.6,2.9,25.4,18.0,12.7,30.5,25.7,86.2,75.3,46.1,39.0
Oct 2006,172.5,142.4,3.5,26.5,14.4,11.4,29.4,25.7,87.9,69.0,40.8,36.3
Nov 2006,158.9,131.4,4.9,22.6,14.0,9.6,26.4,24.0,82.6,67.6,35.8,30.1
Dec 2006,181.1,146.7,4.8,29.5,15.3,11.6,29.0,23.1,94.5,79.0,42.3,33.0
Jan 2007,127.3,103.9,2.2,21.1,11.9,9.8,17.7,15.3,67.7,56.4,30.0,22.4
Feb 2007,112.5,90.5,2.6,19.4,9.7,7.2,15.3,12.4,62.3,51.1,25.2,19.7
Mar 2007,122.8,100.2,2.8,19.8,9.7,6.2,17.0,13.7,64.3,54.0,31.9,26.2
Apr 2007,118.9,98.1,3.1,17.8,9.2,5.6,17.7,16.2,63.7,53.0,28.3,23.3
May 2007,129.5,107.5,3.8,18.2,11.2,8.3,19.4,16.2,66.1,56.9,32.9,26.2
Jun 2007,131.2,107.5,2.9,20.7,14.5,10.8,19.1,16.5,67.1,55.4,30.4,24.8
Jul 2007,129.0,101.2,2.7,25.1,11.0,6.9,19.3,14.5,67.3,54.9,31.5,24.9
Aug 2007,136.9,107.9,2.5,26.5,14.1,10.7,16.6,14.2,70.0,54.9,36.2,28.1
Sep 2007,123.2,99.8,2.6,20.7,12.2,8.6,22.9,18.4,57.2,47.7,30.9,25.1
Oct 2007,126.0,103.4,2.4,20.3,16.6,12.5,19.4,16.1,62.1,52.5,28.0,22.3
Nov 2007,118.7,98.9,2.3,17.5,10.9,8.6,19.9,18.2,56.6,46.0,31.3,26.1
Dec 2007,126.8,99.4,1.5,25.8,13.8,9.4,18.4,16.8,61.8,48.5,32.7,24.8
Jan 2008,93.5,69.0,3.1,21.4,8.7,5.4,12.9,11.3,48.4,36.0,23.6,16.4
Feb 2008,87.0,63.2,2.1,21.7,7.2,4.9,15.2,11.8,48.1,34.5,16.5,12.1
Mar 2008,89.8,69.0,1.0,19.8,7.0,5.4,12.6,10.2,47.1,35.9,23.1,17.5
Apr 2008,79.6,62.0,2.5,15.0,8.6,6.5,11.2,9.5,40.6,32.3,19.0,13.6
May 2008,96.5,73.6,1.5,21.4,11.5,7.4,15.2,12.5,48.5,38.0,21.3,15.6
Jun 2008,99.7,73.6,1.9,24.2,7.6,5.5,17.3,14.5,51.4,36.6,23.4,16.9
Jul 2008,91.5,69.2,2.0,20.3,11.1,7.2,11.6,9.6,45.7,34.7,23.0,17.7
Aug 2008,94.5,62.3,1.9,30.2,8.9,6.1,16.0,11.5,50.0,30.9,19.6,13.8
Sep 2008,104.2,75.3,3.0,25.9,10.4,6.7,22.1,14.3,47.2,35.5,24.5,18.8
Oct 2008,94.1,68.5,1.1,24.5,7.8,5.3,15.6,12.9,48.0,35.0,22.8,15.3
Nov 2008,91.5,66.8,1.6,23.1,9.4,6.1,16.2,11.9,43.3,33.3,22.5,15.5
Dec 2008,97.8,66.3,2.0,29.5,11.4,6.4,12.3,8.7,49.0,34.7,25.1,16.6
Jan 2009,54.7,39.0,0.5,15.1,6.2,3.4,8.0,6.2,27.8,21.1,12.6,8.4
Feb 2009,56.5,36.4,0.9,19.1,6.9,3.3,7.8,6.3,26.9,19.0,14.8,7.8
Mar 2009,62.1,41.3,1.1,19.7,4.8,3.6,8.3,6.9,32.2,20.3,16.8,10.5
Apr 2009,65.5,41.3,1.2,23.0,10.9,4.4,9.1,6.4,31.7,22.0,13.8,8.5
May 2009,68.1,41.1,0.9,26.1,6.7,4.2,10.0,6.8,35.0,21.9,16.4,8.2
Jun 2009,70.3,44.4,1.0,24.9,9.4,3.6,10.3,7.3,34.3,22.7,16.4,10.8
Jul 2009,66.4,41.1,1.2,24.2,8.6,4.9,9.4,6.3,31.4,19.9,17.0,10.0
Aug 2009,73.9,44.5,1.7,27.8,6.3,3.9,11.9,8.9,41.3,22.1,14.5,9.6
Sep 2009,64.4,43.9,1.5,19.1,8.9,5.3,9.9,7.3,29.8,21.2,15.9,10.1
Oct 2009,67.4,49.0,1.3,17.1,9.0,6.4,9.0,7.7,32.3,23.1,17.2,11.9
Nov 2009,72.6,50.1,1.3,21.2,8.5,4.7,13.1,9.7,33.7,22.9,17.3,12.7
Dec 2009,72.4,48.0,2.0,22.5,8.1,6.2,12.3,9.5,37.2,22.7,14.8,9.6
Jan 2010,46.3,30.0,1.3,15.1,5.8,3.2,5.5,4.5,21.2,14.7,13.9,7.6
Feb 2010,45.4,30.7,0.6,14.1,5.6,3.2,5.7,4.3,23.0,16.5,11.2,6.8
Mar 2010,48.6,37.6,0.6,10.4,4.4,3.0,5.7,5.2,26.0,20.4,12.5,9.0
Apr 2010,57.7,42.9,0.9,13.9,7.2,4.6,7.9,5.8,32.1,24.7,10.5,7.9
May 2010,58.7,43.0,0.5,15.2,7.5,4.7,10.0,6.7,26.2,22.1,14.9,9.5
Jun 2010,77.7,60.1,0.7,16.9,7.7,6.5,14.8,11.6,33.9,28.7,21.2,13.3
Jul 2010,48.2,39.2,0.7,8.3,5.8,4.0,8.8,7.5,23.8,20.4,9.8,7.3
Aug 2010,54.6,41.4,0.6,12.6,7.9,4.6,9.3,6.4,26.6,22.7,10.9,7.7
Sep 2010,56.7,43.9,1.0,11.8,7.9,5.2,8.8,7.3,26.7,21.4,13.2,10.0
Oct 2010,54.8,44.7,0.6,9.5,8.2,5.8,10.7,8.3,25.9,22.4,10.0,8.1
Nov 2010,48.3,38.7,0.4,9.2,6.5,4.9,11.0,7.1,22.4,19.7,8.4,7.0
Dec 2010,54.7,44.0,1.0,9.6,5.9,4.3,8.7,7.2,28.9,23.9,11.2,8.6
Jan 2011,35.0,28.4,0.4,6.2,4.2,2.9,6.3,5.0,17.3,15.1,7.2,5.4
Feb 2011,42.0,32.9,0.5,8.5,4.4,3.2,6.4,5.2,23.1,17.8,8.1,6.7
Mar 2011,43.8,28.2,0.5,15.1,4.5,2.6,6.5,4.5,25.4,15.3,7.4,5.8
Apr 2011,42.2,33.3,1.3,7.7,5.2,3.2,7.4,5.7,21.9,18.0,7.7,6.3
May 2011,45.4,36.6,0.4,8.4,5.6,4.4,8.7,6.1,20.0,17.6,11.1,8.4
Jun 2011,50.5,39.7,1.4,9.4,7.5,4.5,9.6,6.3,24.6,21.4,8.8,7.4
Jul 2011,53.6,40.2,0.8,12.6,5.8,4.2,9.7,6.4,29.6,22.7,8.5,6.9
Aug 2011,57.3,42.1,0.5,14.7,6.3,4.6,11.8,7.1,26.9,21.1,12.4,9.3
Sep 2011,54.7,38.4,0.9,15.3,8.9,2.9,8.6,6.4,26.5,20.6,10.7,8.6
Oct 2011,52.1,41.3,0.5,10.3,7.7,3.4,9.0,8.0,25.6,21.9,9.8,8.0
Nov 2011,50.1,40.7,0.4,9.0,4.7,4.1,8.8,7.5,26.0,20.1,10.5,9.1
Dec 2011,58.3,44.8,0.8,12.6,7.8,4.0,10.0,7.6,28.6,23.8,11.9,9.4
Jan 2012,36.4,26.0,0.6,9.8,5.8,2.2,5.8,4.3,18.8,14.9,6.0,4.7
Feb 2012,39.0,29.4,0.3,9.3,5.3,2.6,6.4,5.2,19.9,16.2,7.4,5.4
Mar 2012,44.4,33.6,0.8,9.9,4.8,2.9,8.4,5.3,22.1,17.9,9.1,7.6
Apr 2012,52.3,37.6,0.3,14.5,6.1,3.0,8.3,6.9,26.1,19.4,11.9,8.3
May 2012,50.0,39.3,1.2,9.5,6.8,4.4,8.5,7.4,24.5,20.4,10.1,7.1
Jun 2012,55.1,42.4,1.4,11.2,7.2,5.9,9.0,6.3,27.9,22.3,10.9,7.9
Jul 2012,58.2,38.3,0.9,19.0,8.0,3.4,11.8,7.2,26.7,20.1,11.7,7.7
Aug 2012,64.8,43.3,1.0,20.5,6.1,3.6,11.3,7.0,30.9,23.1,16.5,9.7
Sep 2012,58.7,46.6,0.4,11.7,6.6,4.5,10.3,9.0,28.7,23.1,13.0,10.0
Oct 2012,67.7,50.1,0.4,17.2,6.3,5.5,11.3,9.2,36.6,24.7,13.5,10.7
Nov 2012,57.8,45.6,0.7,11.5,6.2,4.3,8.9,7.8,28.7,22.4,14.0,11.1
Dec 2012,64.8,50.7,0.7,13.4,5.4,4.5,10.4,9.8,33.7,26.0,15.3,10.4
Jan 2013,47.5,36.9,0.6,9.9,4.6,3.4,5.5,5.1,24.8,19.6,12.5,8.8
Feb 2013,49.7,39.6,0.5,9.7,4.1,2.8,7.1,6.2,26.4,21.9,12.2,8.7
Mar 2013,61.7,45.8,0.4,15.5,6.5,3.8,7.9,6.6,29.2,23.5,18.2,11.9
Apr 2013,54.6,40.5,0.5,13.6,4.7,3.4,10.0,7.2,27.9,20.9,12.0,9.1
May 2013,58.3,46.3,0.8,11.2,4.8,4.0,9.3,7.1,31.3,24.6,12.9,10.6
Jun 2013,66.0,47.0,1.2,17.8,6.4,4.0,9.4,6.9,34.1,26.0,16.1,10.2
Jul 2013,67.0,47.2,0.8,19.0,7.8,4.5,10.4,7.8,32.3,22.8,16.5,12.1
Aug 2013,71.6,50.7,0.5,20.5,6.9,4.3,11.4,9.4,38.2,26.7,15.1,10.3
Sep 2013,69.7,50.9,0.7,18.0,7.3,4.3,12.3,9.7,35.8,26.5,14.3,10.5
Oct 2013,73.7,56.9,1.0,15.9,6.4,4.6,12.6,9.8,38.9,29.8,15.7,12.7
Nov 2013,70.8,52.9,0.9,17.0,7.3,5.0,12.5,10.1,33.5,24.8,17.5,13.0
Dec 2013,73.8,54.5,1.2,18.1,8.5,4.3,12.2,9.7,37.0,29.1,16.1,11.4
Jan 2014,56.2,40.3,0.9,15.0,6.2,3.3,8.2,7.1,29.2,21.8,12.6,8.0
Feb 2014,59.5,43.1,0.6,15.8,4.1,2.9,10.2,6.9,31.8,24.3,13.5,9.0
Mar 2014,67.6,47.8,0.9,18.8,4.4,2.8,9.8,7.1,37.7,28.3,15.8,9.7
Apr 2014,63.8,46.4,0.3,17.1,5.5,3.1,9.2,7.3,34.2,25.7,15.0,10.2
May 2014,73.4,52.7,0.9,19.7,10.0,6.1,12.2,7.5,33.7,27.0,17.5,12.2
Jun 2014,71.0,51.0,0.4,19.6,6.8,4.5,12.7,8.9,36.5,25.8,15.0,11.9
Jul 2014,71.9,51.5,0.6,19.8,8.1,4.6,12.6,9.6,35.9,26.9,15.3,10.4
Aug 2014,86.9,54.1,1.1,31.6,9.7,3.7,15.8,8.9,42.7,28.0,18.7,13.5
Sep 2014,88.5,56.9,0.7,31.0,12.2,5.1,16.0,10.1,43.3,30.5,17.1,11.1
Oct 2014,83.7,57.6,0.6,25.5,9.0,4.7,14.0,10.0,37.9,29.3,22.8,13.6
Nov 2014,71.9,53.6,1.0,17.2,4.7,3.9,11.9,9.5,36.5,27.4,18.8,12.8
