,date,value
0,2003-01-01,2.795605965883
1,2003-02-01,2.795605965883
2,2003-03-01,2.795605965883
3,2003-04-01,2.795605965883
4,2003-05-01,2.795605965883
5,2003-06-01,2.795605965883
6,2003-07-01,2.795605965883
7,2003-08-01,2.795605965883
8,2003-09-01,2.795605965883
9,2003-10-01,2.795605965883
10,2003-11-01,2.795605965883
11,2003-12-01,2.795605965883
12,2004-01-01,3.84777169205226
13,2004-02-01,3.84777169205226
14,2004-03-01,3.84777169205226
15,2004-04-01,3.84777169205226
16,2004-05-01,3.84777169205226
17,2004-06-01,3.84777169205226
18,2004-07-01,3.84777169205226
19,2004-08-01,3.84777169205226
20,2004-09-01,3.84777169205226
21,2004-10-01,3.84777169205226
22,2004-11-01,3.84777169205226
23,2004-12-01,3.84777169205226
24,2005-01-01,3.483549937943
25,2005-02-01,3.483549937943
26,2005-03-01,3.483549937943
27,2005-04-01,3.483549937943
28,2005-05-01,3.483549937943
29,2005-06-01,3.483549937943
30,2005-07-01,3.483549937943
31,2005-08-01,3.483549937943
32,2005-09-01,3.483549937943
33,2005-10-01,3.483549937943
34,2005-11-01,3.483549937943
35,2005-12-01,3.483549937943
36,2006-01-01,2.78453963938148
37,2006-02-01,2.78453963938148
38,2006-03-01,2.78453963938148
39,2006-04-01,2.78453963938148
40,2006-05-01,2.78453963938148
41,2006-06-01,2.78453963938148
42,2006-07-01,2.78453963938148
43,2006-08-01,2.78453963938148
44,2006-09-01,2.78453963938148
45,2006-10-01,2.78453963938148
46,2006-11-01,2.78453963938148
47,2006-12-01,2.78453963938148
48,2007-01-01,2.00385829825838
49,2007-02-01,2.00385829825838
50,2007-03-01,2.00385829825838
51,2007-04-01,2.00385829825838
52,2007-05-01,2.00385829825838
53,2007-06-01,2.00385829825838
54,2007-07-01,2.00385829825838
55,2007-08-01,2.00385829825838
56,2007-09-01,2.00385829825838
57,2007-10-01,2.00385829825838
58,2007-11-01,2.00385829825838
59,2007-12-01,2.00385829825838
60,2008-01-01,0.113587248258867
61,2008-02-01,0.113587248258867
62,2008-03-01,0.113587248258867
63,2008-04-01,0.113587248258867
64,2008-05-01,0.113587248258867
65,2008-06-01,0.113587248258867
66,2008-07-01,0.113587248258867
67,2008-08-01,0.113587248258867
68,2008-09-01,0.113587248258867
69,2008-10-01,0.113587248258867
70,2008-11-01,0.113587248258867
71,2008-12-01,0.113587248258867
72,2009-01-01,-2.57650023426996
73,2009-02-01,-2.57650023426996
74,2009-03-01,-2.57650023426996
75,2009-04-01,-2.57650023426996
76,2009-05-01,-2.57650023426996
77,2009-06-01,-2.57650023426996
78,2009-07-01,-2.57650023426996
79,2009-08-01,-2.57650023426996
80,2009-09-01,-2.57650023426996
81,2009-10-01,-2.57650023426996
82,2009-11-01,-2.57650023426996
83,2009-12-01,-2.57650023426996
84,2010-01-01,2.6951925838264
85,2010-02-01,2.6951925838264
86,2010-03-01,2.6951925838264
87,2010-04-01,2.6951925838264
88,2010-05-01,2.6951925838264
89,2010-06-01,2.6951925838264
90,2010-07-01,2.6951925838264
91,2010-08-01,2.6951925838264
92,2010-09-01,2.6951925838264
93,2010-10-01,2.6951925838264
94,2010-11-01,2.6951925838264
95,2010-12-01,2.6951925838264
96,2011-01-01,1.56440685438301
97,2011-02-01,1.56440685438301
98,2011-03-01,1.56440685438301
99,2011-04-01,1.56440685438301
100,2011-05-01,1.56440685438301
101,2011-06-01,1.56440685438301
102,2011-07-01,1.56440685438301
103,2011-08-01,1.56440685438301
104,2011-09-01,1.56440685438301
105,2011-10-01,1.56440685438301
106,2011-11-01,1.56440685438301
107,2011-12-01,1.56440685438301
108,2012-01-01,2.28911338767897
109,2012-02-01,2.28911338767897
110,2012-03-01,2.28911338767897
111,2012-04-01,2.28911338767897
112,2012-05-01,2.28911338767897
113,2012-06-01,2.28911338767897
114,2012-07-01,2.28911338767897
115,2012-08-01,2.28911338767897
116,2012-09-01,2.28911338767897
117,2012-10-01,2.28911338767897
118,2012-11-01,2.28911338767897
119,2012-12-01,2.28911338767897
120,2013-01-01,2.11783009919846
121,2013-02-01,2.11783009919846
122,2013-03-01,2.11783009919846
123,2013-04-01,2.11783009919846
124,2013-05-01,2.11783009919846
125,2013-06-01,2.11783009919846
126,2013-07-01,2.11783009919846
127,2013-08-01,2.11783009919846
128,2013-09-01,2.11783009919846
129,2013-10-01,2.11783009919846
130,2013-11-01,2.11783009919846
131,2013-12-01,2.11783009919846
132,2014-01-01,2.52381981441982
133,2014-02-01,2.52381981441982
134,2014-03-01,2.52381981441982
135,2014-04-01,2.52381981441982
136,2014-05-01,2.52381981441982
137,2014-06-01,2.52381981441982
138,2014-07-01,2.52381981441982
139,2014-08-01,2.52381981441982
140,2014-09-01,2.52381981441982
141,2014-10-01,2.52381981441982
142,2014-11-01,2.52381981441982
143,2014-12-01,2.52381981441982
144,2015-01-01,2.94555045455233
145,2015-02-01,2.94555045455233
146,2015-03-01,2.94555045455233
147,2015-04-01,2.94555045455233
148,2015-05-01,2.94555045455233
149,2015-06-01,2.94555045455233
150,2015-07-01,2.94555045455233
151,2015-08-01,2.94555045455233
152,2015-09-01,2.94555045455233
153,2015-10-01,2.94555045455233
154,2015-11-01,2.94555045455233
155,2015-12-01,2.94555045455233
156,2016-01-01,1.81945147474293
157,2016-02-01,1.81945147474293
158,2016-03-01,1.81945147474293
159,2016-04-01,1.81945147474293
160,2016-05-01,1.81945147474293
161,2016-06-01,1.81945147474293
162,2016-07-01,1.81945147474293
163,2016-08-01,1.81945147474293
164,2016-09-01,1.81945147474293
