,DATE,CSUSHPISA,diff_house_prices
0,2003-01-01,128.461,
1,2003-02-01,129.356,0.8949999999999818
2,2003-03-01,130.148,0.7920000000000016
3,2003-04-01,130.885,0.7369999999999948
4,2003-05-01,131.735,0.8500000000000227
5,2003-06-01,132.649,0.9139999999999873
6,2003-07-01,133.77700000000002,1.1280000000000143
7,2003-08-01,134.968,1.190999999999974
8,2003-09-01,136.29399999999998,1.3259999999999934
9,2003-10-01,137.532,1.238000000000028
10,2003-11-01,138.795,1.2629999999999768
11,2003-12-01,140.18,1.3850000000000193
12,2004-01-01,141.64700000000002,1.467000000000013
13,2004-02-01,143.192,1.5449999999999875
14,2004-03-01,145.058,1.8659999999999854
15,2004-04-01,146.592,1.5340000000000202
16,2004-05-01,148.186,1.593999999999994
17,2004-06-01,149.851,1.664999999999992
18,2004-07-01,151.338,1.4869999999999948
19,2004-08-01,152.634,1.2959999999999923
20,2004-09-01,154.18,1.5460000000000207
21,2004-10-01,155.752,1.5720000000000027
22,2004-11-01,157.528,1.775999999999982
23,2004-12-01,159.33100000000002,1.8030000000000257
24,2005-01-01,161.289,1.95799999999997
25,2005-02-01,163.344,2.055000000000007
26,2005-03-01,165.813,2.468999999999994
27,2005-04-01,167.502,1.6890000000000214
28,2005-05-01,169.351,1.8489999999999895
29,2005-06-01,171.19099999999997,1.839999999999975
30,2005-07-01,172.86,1.6690000000000396
31,2005-08-01,174.442,1.5819999999999936
32,2005-09-01,176.437,1.9950000000000045
33,2005-10-01,178.02700000000002,1.5900000000000034
34,2005-11-01,179.68,1.6529999999999916
35,2005-12-01,180.91,1.2299999999999898
36,2006-01-01,182.32,1.4099999999999966
37,2006-02-01,183.287,0.967000000000013
38,2006-03-01,184.365,1.078000000000003
39,2006-04-01,184.328,-0.03700000000000614
40,2006-05-01,184.155,-0.17300000000000182
41,2006-06-01,183.507,-0.6479999999999961
42,2006-07-01,183.066,-0.4410000000000025
43,2006-08-01,182.593,-0.4730000000000132
44,2006-09-01,182.798,0.2050000000000125
45,2006-10-01,183.197,0.3990000000000009
46,2006-11-01,183.608,0.41100000000000136
47,2006-12-01,184.138,0.5300000000000011
48,2007-01-01,184.516,0.3779999999999859
49,2007-02-01,184.598,0.08200000000002206
50,2007-03-01,184.15,-0.4480000000000075
51,2007-04-01,183.01,-1.1400000000000148
52,2007-05-01,181.6,-1.4099999999999966
53,2007-06-01,180.253,-1.3470000000000084
54,2007-07-01,179.11,-1.1429999999999723
55,2007-08-01,178.116,-0.9939999999999998
56,2007-09-01,177.55700000000002,-0.5589999999999975
57,2007-10-01,176.623,-0.9340000000000259
58,2007-11-01,175.146,-1.4770000000000039
59,2007-12-01,174.34099999999998,-0.8050000000000068
60,2008-01-01,173.13099999999997,-1.210000000000008
61,2008-02-01,171.53900000000002,-1.5919999999999561
62,2008-03-01,170.05200000000002,-1.4869999999999948
63,2008-04-01,168.33700000000002,-1.7150000000000034
64,2008-05-01,166.658,-1.6790000000000305
65,2008-06-01,165.016,-1.641999999999996
66,2008-07-01,163.564,-1.4519999999999982
67,2008-08-01,161.986,-1.578000000000003
68,2008-09-01,160.30700000000002,-1.6789999999999736
69,2008-10-01,158.326,-1.981000000000023
70,2008-11-01,156.141,-2.1850000000000023
71,2008-12-01,153.618,-2.522999999999996
72,2009-01-01,151.506,-2.1119999999999948
73,2009-02-01,150.014,-1.4919999999999902
74,2009-03-01,148.659,-1.3550000000000182
75,2009-04-01,147.947,-0.7119999999999891
76,2009-05-01,147.69299999999998,-0.2540000000000191
77,2009-06-01,148.088,0.39500000000001023
78,2009-07-01,148.408,0.3199999999999932
79,2009-08-01,148.27700000000002,-0.1309999999999718
80,2009-09-01,148.024,-0.2530000000000143
81,2009-10-01,147.85,-0.1740000000000066
82,2009-11-01,148.136,0.28600000000000136
83,2009-12-01,147.93,-0.20599999999998886
84,2010-01-01,147.39600000000002,-0.5339999999999918
85,2010-02-01,145.631,-1.7650000000000148
86,2010-03-01,145.858,0.22700000000000387
87,2010-04-01,146.401,0.5430000000000064
88,2010-05-01,146.392,-0.009000000000014552
89,2010-06-01,145.719,-0.6730000000000018
90,2010-07-01,144.987,-0.7319999999999993
91,2010-08-01,143.912,-1.0749999999999886
92,2010-09-01,143.015,-0.8970000000000198
93,2010-10-01,142.526,-0.4889999999999759
94,2010-11-01,142.167,-0.35900000000000887
95,2010-12-01,142.054,-0.11299999999999955
96,2011-01-01,141.516,-0.5380000000000109
97,2011-02-01,140.343,-1.1730000000000018
98,2011-03-01,139.975,-0.367999999999995
99,2011-04-01,140.007,0.03200000000001069
100,2011-05-01,139.903,-0.10400000000001342
101,2011-06-01,139.86,-0.042999999999977945
102,2011-07-01,139.72799999999998,-0.13200000000003342
103,2011-08-01,139.308,-0.4199999999999875
104,2011-09-01,138.667,-0.6409999999999911
105,2011-10-01,137.951,-0.7160000000000082
106,2011-11-01,137.15,-0.8009999999999877
107,2011-12-01,136.672,-0.47800000000000864
108,2012-01-01,136.606,-0.0660000000000025
109,2012-02-01,136.531,-0.07499999999998863
110,2012-03-01,137.90200000000002,1.3710000000000093
111,2012-04-01,139.151,1.2489999999999952
112,2012-05-01,140.15200000000002,1.0010000000000048
113,2012-06-01,141.028,0.8759999999999764
114,2012-07-01,141.66899999999998,0.6409999999999911
115,2012-08-01,142.278,0.6090000000000089
116,2012-09-01,142.906,0.6280000000000143
117,2012-10-01,143.597,0.6910000000000025
118,2012-11-01,144.58,0.9830000000000041
119,2012-12-01,145.497,0.9170000000000016
120,2013-01-01,146.82299999999998,1.325999999999965
121,2013-02-01,147.781,0.9580000000000268
122,2013-03-01,149.96,2.179000000000002
123,2013-04-01,151.517,1.556999999999988
124,2013-05-01,152.849,1.3319999999999936
125,2013-06-01,154.19899999999998,1.3499999999999943
